day,date,base_region_1,base_region_2,base_region_3,base_region_4,base_state,now_region_1,now_region_2,now_region_3,now_region_4,now_state,now_1_p,now_2_p,now_3_p,now_4_p,now_5_p
Wed,2020-01-01,9434.300000000001,6581.65,9996.6,8988.6,9129.246556543521,9442.0,6419.0,10049.0,9065.0,9127.0,0.0008161707810858676,-0.024712648044183383,0.005241782205950063,0.008499655118705984,-0.0002460834560231717
Thu,2020-01-02,13513.5,8873.65,13991.8,12882.2,12820.67026611585,13148.0,8577.0,13414.0,12171.0,12289.0,-0.027047027047026995,-0.033430437305956406,-0.041295616003659275,-0.0552079613730575,-0.041469771476848494
Fri,2020-01-03,14147.8,9389.8,14983.6,14294.0,13726.74842939248,13827.0,9107.0,14658.0,14286.0,13519.0,-0.022674903518568157,-0.030117787386312767,-0.021730425264956388,-0.0005596753882748384,-0.01513456959316295
Sat,2020-01-04,12027.2,8462.35,12898.2,11921.6,11795.39909976951,11694.0,8220.0,12680.0,12004.0,11620.0,-0.027703871225222887,-0.028638616932648797,-0.016917089206245906,0.0069118239162528905,-0.014870128453130182
Sun,2020-01-05,10377.4,7421.4,11087.4,9989.4,10132.5027517505,10144.0,7226.0,10999.0,10121.0,10031.0,-0.022491182762541695,-0.026329264020265697,-0.007973014412756774,0.01317396440226637,-0.0100175400132968
Mon,2020-01-06,13563.9,8838.5,14676.4,13514.2,13268.68885257804,13272.0,8595.0,14445.0,13719.0,13115.0,-0.021520359188728855,-0.0275499236295752,-0.015766809299283202,0.015154430154947995,-0.011582821353760098
Tue,2020-01-07,13707.8,8675.599999999999,15102.4,14034.6,13562.77783825429,13399.0,8418.0,14854.0,14143.0,13384.0,-0.02252732021185011,-0.029692470837751728,-0.016447716919165134,0.0077237684009519025,-0.013181506059182113
Wed,2020-01-08,13825.1,8905.199999999999,15062.6,14281.2,13633.72007948794,13523.0,8647.0,14783.0,14390.0,13473.0,-0.021851559844051738,-0.0289942954678164,-0.01856253236493033,0.007618407416743578,-0.01178842447629136
Thu,2020-01-09,14080.9,9082.8,15321.8,14280.8,13840.22015570893,13787.0,8827.0,15097.0,14328.0,13672.0,-0.020872245382042354,-0.028163121504381827,-0.014671905389706086,0.003305136967116651,-0.01215444218490569
Fri,2020-01-10,14686.0,9473.65,15587.4,14564.8,14184.49458525648,14409.0,9214.0,15306.0,14532.0,13988.0,-0.018861500749012716,-0.02740759897188516,-0.018053042842295697,-0.0022520048335713527,-0.013852773116126316
Sat,2020-01-11,10253.4,6293.95,10790.2,10043.4,9786.938084740332,9978.0,6063.0,10357.0,9699.0,9459.0,-0.02685938322897763,-0.036693968016905054,-0.04014754128746456,-0.03429117629488021,-0.03350773059979284
Sun,2020-01-12,9766.2,6660.05,10782.0,9598.599999999999,9692.920447638964,9660.0,6521.0,10772.0,9651.0,9632.0,-0.010874239724765089,-0.02087822163497277,-0.0009274717121128262,0.005459129456379275,-0.006285045664828792
Mon,2020-01-13,13110.5,8503.699999999999,14765.4,13603.6,13196.43405023693,12806.0,8257.0,14554.0,13434.0,12966.0,-0.023225658823080697,-0.02901090113715199,-0.014317255204735369,-0.012467288070804772,-0.017461842294645757
Tue,2020-01-14,13231.0,8589.1,15001.8,14130.6,13428.28670423628,12891.0,8331.0,14723.0,14101.0,13225.0,-0.025697226211170765,-0.03004971417261415,-0.018584436534282545,-0.0020947447383692364,-0.015138692575885182
Wed,2020-01-15,13328.3,8799.65,14741.8,13826.6,13300.23796445615,13334.0,8589.0,14700.0,13593.0,13198.0,0.00042766144219452684,-0.02393845209752654,-0.0028354746367471595,-0.016894970563985368,-0.0076869274617019645
Thu,2020-01-16,13917.4,9309.95,15240.0,14121.8,13782.75085861891,14002.0,9128.0,15388.0,14429.0,13892.0,0.006078721600298875,-0.019543606571463923,0.009711286089238769,0.021753600815760166,0.007926512094845739
Fri,2020-01-17,14918.1,10102.15,16074.6,15137.4,14657.75990385471,14961.0,9878.0,16154.0,15401.0,14735.0,0.0028757013292577405,-0.022188346045148744,0.00493946972241921,0.017413822717243344,0.005269570292591341
Sat,2020-01-18,10416.9,7212.099999999999,12087.2,10961.4,10762.97508617755,10482.0,7084.0,12300.0,11567.0,10964.0,0.006249460012095698,-0.017761816946520348,0.01760540075451722,0.055248417172988784,0.01867744858766951
Sun,2020-01-19,9370.4,6599.15,10077.6,9411.2,9223.11832812973,9506.0,6487.0,10398.0,9892.0,9488.0,0.01447110048663891,-0.01699461294257587,0.0317932841152655,0.05108806528391696,0.028719318396078997
Mon,2020-01-20,13013.4,8715.3,13415.6,11901.2,12270.95916661887,13090.0,8532.0,13493.0,12090.0,12275.0,0.005886240336883564,-0.021031978245155014,0.005769402784817634,0.015863946492790548,0.0003293005319520148
Tue,2020-01-21,13075.2,8725.9,14488.2,13144.2,13016.27501587552,13217.0,8591.0,14789.0,13923.0,13291.0,0.010844958394517823,-0.015459723352318933,0.02076172333347137,0.05925046788697674,0.021106267637200915
Wed,2020-01-22,13478.2,8818.8,14636.0,13319.5,13202.11658852813,13427.0,8656.0,14871.0,14025.0,13395.0,-0.0037987268329598978,-0.018460561527645414,0.016056299535392116,0.05296745373324829,0.014610036972365181
Thu,2020-01-23,13881.2,8911.7,14783.8,13494.8,13387.95816118076,13932.0,8708.0,14704.0,13260.0,13210.0,0.0036596259689363198,-0.02285759170528634,-0.005397800294917321,-0.0173992945430832,-0.013292404938697988
Fri,2020-01-24,14250.1,9348.2,15434.6,14756.2,14037.45027985897,14262.0,9115.0,15389.0,14849.0,13994.0,0.000835081859074549,-0.02494597890502992,-0.0029544011506614787,0.006288881961480586,-0.003095311398631395
Sat,2020-01-25,10961.3,7436.349999999999,12407.2,11819.0,11180.35465525998,10946.0,7259.0,12416.0,12057.0,11230.0,-0.0013958198388877019,-0.02384906573789558,0.0007092655877232179,0.020137067433793066,0.004440408759006864
Sun,2020-01-26,9542.800000000001,6564.4,10468.2,9680.6,9488.252802910634,9539.0,6414.0,10511.0,9785.0,9501.0,-0.0003982059772814628,-0.02291146182438608,0.00408857301159693,0.010784455508956015,0.001343471485651726
Mon,2020-01-27,12574.6,8467.65,14351.4,13226.8,12829.91890305785,12520.0,8268.0,14452.0,13392.0,12863.0,-0.0043420864281965565,-0.023577970275105775,0.007009769081762096,0.012489793449662834,0.0025784338304948307
Tue,2020-01-28,12756.5,8681.074999999999,13945.0,13238.0,12685.92209026532,13142.0,8588.0,14856.0,14068.0,13347.0,0.03021988790028618,-0.010721598419550449,0.06532807457870193,0.06269829279347339,0.0521111437569024
Wed,2020-01-29,13344.3,8894.499999999998,14773.2,13995.4,13358.2655933065,13444.0,8716.0,15025.0,14213.0,13525.0,0.007471354810668185,-0.020068581707796795,0.017044377656838083,0.015547965760178473,0.012481740651798967
Thu,2020-01-30,13927.0,9199.25,15359.4,14282.4,13851.71254761658,13978.0,8984.0,15425.0,14566.0,13914.0,0.0036619516047964318,-0.023398646628801312,0.004271000169277395,0.019856606732762128,0.004496732961307259
Fri,2020-01-31,14794.2,9985.2,15800.0,15080.8,14467.51172754918,14838.0,9770.0,15879.0,15364.0,14570.0,0.0029606197023157588,-0.021551896807274873,0.004999999999999893,0.018778844623627444,0.007084028987214275
Sat,2020-02-01,11026.4,7897.0,12457.6,11576.4,11255.82206388605,10899.0,7536.0,12912.0,12410.0,11553.0,-0.01155408836973082,-0.04571356211219446,0.036475725661443636,0.07200856915794196,0.026402152986003236
Sun,2020-02-02,9459.2,6701.6,10342.2,9429.8,9394.422830603753,9497.0,6441.0,10459.0,9972.0,9523.0,0.003996109607577791,-0.03888623612271702,0.011293535224613738,0.0574985683683642,0.013686542719515193
Mon,2020-02-03,13125.8,8894.4,14311.6,12878.8,12922.25603310283,13218.0,8502.0,14451.0,13769.0,13104.0,0.007024333754894974,-0.044117647058823484,0.00974035048492139,0.0691213467093208,0.014064414637165346
Tue,2020-02-04,13061.8,8564.8,14639.6,13714.2,13148.18863234656,13067.0,8510.0,14212.0,13163.0,12843.0,0.00039810745839008455,-0.006398281337567591,-0.029208448318260083,-0.04019191786615339,-0.023211458314170375
Wed,2020-02-05,12699.4,8349.65,14401.2,13516.6,12899.94590469694,12658.0,8113.0,14537.0,13661.0,12972.0,-0.003259996535269316,-0.02834250537447669,0.009429769741410299,0.010683159966263789,0.005585612206080892
Thu,2020-02-06,12634.0,8568.0,14729.2,13800.8,13133.5626125265,12516.0,8319.0,14729.0,14178.0,13192.0,-0.009339876523666302,-0.029061624649859952,-1.3578469978070551e-05,0.02733174888412271,0.004449469591576216
Fri,2020-02-07,14337.0,9346.8,15765.0,14537.0,14192.30682386162,13888.0,9447.0,14738.0,14961.0,13773.0,-0.03131756992397294,0.010720246501476627,-0.0651443070091976,0.029166953291600795,-0.02954465606370882
Sat,2020-02-08,11145.0,7897.0,12472.0,11527.0,11276.74290180088,10158.0,7711.0,12569.0,12219.0,10987.0,-0.08855989232839834,-0.023553248068886923,0.007777421423989628,0.06003296607963904,-0.025693846558708766
Sun,2020-02-09,9182.0,6701.6,10038.0,9218.0,9158.691965432394,9898.0,6748.0,10830.0,10262.0,9882.0,0.07797865388804182,0.006923719708726184,0.07890017931858928,0.11325667172922538,0.07897503675170903
Mon,2020-02-10,12715.0,7633.2,14107.0,12042.0,12427.23855329126,12287.0,7839.0,13875.0,13032.0,12425.0,-0.03366103027919776,0.026961169627417014,-0.01644573615935352,0.08221225710014957,-0.00018013280115769525
