date,hour,base_region_1,base_region_2,base_region_3,base_region_4,base_state,now_region_1,now_region_2,now_region_3,now_region_4,now_state,datetime
2024-02-21,1,155.112034110123,104.294719807309,213.0,164.0,162.726614341146,186,88,123,149,134,2024-02-21 0:00
2024-02-21,2,109.952251608292,79.0,177.0,121.0,135.437057898842,151,69,101,117,108,2024-02-21 1:00
2024-02-21,3,106.869478198713,73.0,167.0,105.0,132.404884960808,148,68,91,119,103,2024-02-21 2:00
2024-02-21,4,123.310936383131,83.0,183.0,130.0,158.683717090434,169,81,120,143,128,2024-02-21 3:00
2024-02-21,5,161.331808434596,126.0,272.0,196.0,250.659629544126,213,121,215,219,203,2024-02-21 4:00
2024-02-21,6,286.697927090779,227.0,540.0,384.0,484.136945772726,345,222,534,423,440,2024-02-21 5:00
2024-02-21,7,555.926804860615,397.0,888.0,744.0,798.472207015561,647,397,872,762,750,2024-02-21 6:00
2024-02-21,8,857.011007862759,579.0,986.0,1013.0,899.544638283354,988,604,961,1009,927,2024-02-21 7:00
2024-02-21,9,876.535239456755,540.0,915.0,866.0,809.590174455019,947,571,888,901,859,2024-02-21 8:00
2024-02-21,10,793.300357398142,480.0,808.0,730.0,734.796575316852,830,492,822,736,765,2024-02-21 9:00
2024-02-21,11,788.162401715511,493.0,785.0,694.0,729.742953753462,786,469,771,662,715,2024-02-21 10:00
2024-02-21,12,834.404002859185,521.0,794.0,714.0,747.935991381665,809,492,798,682,739,2024-02-21 11:00
2024-02-21,13,866.259328091494,540.0,812.0,757.0,765.11830469719,829,506,806,722,756,2024-02-21 12:00
2024-02-21,14,862.14896354539,547.0,830.0,788.0,792.407861139494,850,538,835,755,785,2024-02-21 13:00
2024-02-21,15,916.611293781272,558.0,903.0,852.0,852.040595587491,912,533,944,849,868,2024-02-21 14:00
2024-02-21,16,993.680629020729,559.0,1003.0,964.0,943.005783728505,986,591,1021,924,941,2024-02-21 15:00
2024-02-21,17,1059.4464617584,629.0,1057.0,1079.0,995.563447987757,1017,578,1036,973,961,2024-02-21 16:00
2024-02-21,18,1057.39127948535,651.0,1012.0,1057.0,905.608984159421,933,603,1002,937,926,2024-02-21 17:00
2024-02-21,19,828.238456040029,509.0,855.0,801.0,722.667883564717,792,457,816,762,755,2024-02-21 18:00
2024-02-21,20,628.885775553967,386.0,657.0,612.0,562.973442161605,624,375,612,573,576,2024-02-21 19:00
2024-02-21,21,504.54724803431,317.0,522.0,526.0,466.954632457202,499,293,481,450,454,2024-02-21 20:00
2024-02-21,22,436.726233023588,275.0,458.0,473.0,399.236103507781,383,234,384,411,369,2024-02-21 21:00
2024-02-21,23,324.718799142245,220.0,380.0,384.0,318.378158493547,290,194,294,308,283,2024-02-21 22:00
2024-02-21,24,232.235596854896,157.0,296.0,271.0,238.53093779199,243,151,197,227,204,2024-02-21 23:00
2024-02-22,1,171.607719799857,110.0,234.0,184.0,179.0,198,94,131,156,142,2024-02-22 0:00
2024-02-22,2,128.0,86.0,188.0,133.0,145.0,166,74,105,123,115,2024-02-22 1:00
2024-02-22,3,115.0,85.0,176.0,117.0,140.0,153,71,99,124,109,2024-02-22 2:00
2024-02-22,4,128.0,90.0,188.0,144.0,163.0,172,84,126,147,132,2024-02-22 3:00
2024-02-22,5,161.0,129.0,268.0,201.0,251.0,217,127,218,222,207,2024-02-22 4:00
2024-02-22,6,295.0,228.0,536.0,391.0,492.0,352,217,527,418,436,2024-02-22 5:00
2024-02-22,7,601.0,410.0,883.0,758.0,816.0,637,386,862,729,737,2024-02-22 6:00
2024-02-22,8,955.0,598.0,979.0,1017.0,907.0,972,604,982,968,928,2024-02-22 7:00
2024-02-22,9,938.0,560.0,902.0,913.0,821.0,900,563,906,895,858,2024-02-22 8:00
2024-02-22,10,838.0,494.0,830.0,755.0,751.0,841,495,824,735,768,2024-02-22 9:00
2024-02-22,11,828.0,485.0,791.0,706.0,732.0,799,495,804,678,741,2024-02-22 10:00
2024-02-22,12,844.0,512.0,800.0,727.0,746.0,819,515,796,697,746,2024-02-22 11:00
2024-02-22,13,854.0,532.0,828.0,757.0,762.0,869,542,840,745,789,2024-02-22 12:00
2024-02-22,14,850.0,523.0,853.0,795.0,796.0,898,558,873,774,819,2024-02-22 13:00
2024-02-22,15,892.0,561.0,917.0,861.0,856.0,953,595,925,872,878,2024-02-22 14:00
2024-02-22,16,953.0,606.0,1017.0,965.0,945.0,1011,634,984,1004,947,2024-02-22 15:00
2024-02-22,17,1051.0,635.0,1042.0,1064.0,980.0,1046,656,984,1045,963,2024-02-22 16:00
2024-02-22,18,1039.0,657.0,984.0,1013.0,882.0,1004,648,929,980,915,2024-02-22 17:00
2024-02-22,19,838.0,515.0,889.0,804.0,737.0,827,495,777,730,741,2024-02-22 18:00
2024-02-22,20,641.0,397.0,661.0,621.0,572.0,639,379,583,570,564,2024-02-22 19:00
2024-02-22,21,532.0,339.0,542.0,534.0,480.0,513,302,449,454,442,2024-02-22 20:00
2024-02-22,22,453.0,288.0,473.0,473.0,409.0,410,259,383,379,371,2024-02-22 21:00
2024-02-22,23,359.0,222.0,391.0,401.0,332.0,319,190,311,318,298,2024-02-22 22:00
2024-02-22,24,268.0,167.0,315.0,280.0,248.0,251,138,214,239,215,2024-02-22 23:00
2024-02-23,1,179.0,116.0,231.0,188.0,180.0,197,95,144,162,150,2024-02-23 0:00
2024-02-23,2,136.0,91.0,192.0,137.0,149.0,169,75,110,140,121,2024-02-23 1:00
2024-02-23,3,122.0,82.0,189.0,123.0,145.0,152,68,105,130,113,2024-02-23 2:00
2024-02-23,4,126.0,87.0,192.0,146.0,167.0,169,89,129,145,134,2024-02-23 3:00
2024-02-23,5,174.0,127.0,279.0,202.0,259.0,207,116,212,223,200,2024-02-23 4:00
2024-02-23,6,307.0,233.0,545.0,392.0,501.0,313,208,497,394,409,2024-02-23 5:00
2024-02-23,7,617.0,420.0,887.0,743.0,811.0,567,374,786,705,680,2024-02-23 6:00
2024-02-23,8,946.0,588.0,972.0,1002.0,908.0,837,562,951,963,883,2024-02-23 7:00
2024-02-23,9,968.0,570.0,899.0,912.0,825.0,854,546,876,859,826,2024-02-23 8:00
2024-02-23,10,847.0,513.0,842.0,765.0,768.0,824,494,822,734,764,2024-02-23 9:00
2024-02-23,11,846.0,517.0,803.0,720.0,750.0,813,519,813,684,752,2024-02-23 10:00
2024-02-23,12,871.0,539.0,820.0,743.0,773.0,860,547,862,739,799,2024-02-23 11:00
2024-02-23,13,900.0,570.0,855.0,782.0,793.0,927,579,892,800,841,2024-02-23 12:00
2024-02-23,14,897.0,552.0,874.0,809.0,819.0,957,592,953,813,881,2024-02-23 13:00
2024-02-23,15,938.0,579.0,936.0,864.0,876.0,970,628,1029,894,942,2024-02-23 14:00
2024-02-23,16,1020.0,599.0,1031.0,969.0,954.0,1007,661,1078,1018,1000,2024-02-23 15:00
2024-02-23,17,1062.0,646.0,1049.0,1058.0,987.0,1026,650,1060,1019,993,2024-02-23 16:00
2024-02-23,18,1057.0,676.0,1026.0,1057.0,924.0,967,634,999,954,938,2024-02-23 17:00
2024-02-23,19,893.0,545.0,878.0,827.0,751.0,890,531,875,835,826,2024-02-23 18:00
2024-02-23,20,691.0,428.0,684.0,651.0,603.0,728,447,696,652,661,2024-02-23 19:00
2024-02-23,21,598.0,360.0,572.0,553.0,507.0,590,354,561,525,533,2024-02-23 20:00
2024-02-23,22,500.0,301.0,479.0,490.0,418.0,475,296,474,489,454,2024-02-23 21:00
2024-02-23,23,375.0,230.0,409.0,416.0,344.0,378,242,382,432,372,2024-02-23 22:00
2024-02-23,24,277.0,170.0,319.0,303.0,257.0,322,179,296,325,291,2024-02-23 23:00
2024-02-24,1,186.0,125.0,255.0,200.0,194.0,235,120,199,231,201,2024-02-24 0:00
2024-02-24,2,139.0,101.0,211.0,143.0,160.0,189,85,144,179,151,2024-02-24 1:00
2024-02-24,3,133.0,85.0,199.0,130.0,155.0,160,72,129,154,131,2024-02-24 2:00
2024-02-24,4,140.0,101.0,212.0,152.0,177.0,156,74,124,152,128,2024-02-24 3:00
2024-02-24,5,169.0,135.0,279.0,207.0,254.0,156,76,136,169,137,2024-02-24 4:00
2024-02-24,6,287.0,221.0,524.0,376.0,477.0,213,120,238,246,220,2024-02-24 5:00
2024-02-24,7,590.0,385.0,859.0,717.0,791.0,302,178,387,345,337,2024-02-24 6:00
2024-02-24,8,949.0,569.0,952.0,973.0,887.0,427,251,492,435,439,2024-02-24 7:00
2024-02-24,9,941.0,563.0,890.0,893.0,822.0,542,344,616,534,553,2024-02-24 8:00
2024-02-24,10,866.0,523.0,847.0,787.0,788.0,680,426,738,625,667,2024-02-24 9:00
2024-02-24,11,892.0,546.0,840.0,765.0,795.0,781,495,822,671,746,2024-02-24 10:00
2024-02-24,12,954.0,566.0,881.0,805.0,832.0,849,539,862,718,792,2024-02-24 11:00
2024-02-24,13,976.0,604.0,925.0,854.0,859.0,894,543,898,771,828,2024-02-24 12:00
2024-02-24,14,983.0,581.0,941.0,882.0,883.0,877,541,906,794,833,2024-02-24 13:00
2024-02-24,15,1027.0,596.0,996.0,944.0,934.0,873,557,923,795,844,2024-02-24 14:00
2024-02-24,16,1069.0,636.0,1058.0,1040.0,982.0,881,548,920,796,843,2024-02-24 15:00
2024-02-24,17,1079.0,637.0,1042.0,1093.0,977.0,857,530,912,795,832,2024-02-24 16:00
2024-02-24,18,1027.0,624.0,1017.0,1021.0,922.0,851,513,890,798,818,2024-02-24 17:00
2024-02-24,19,926.0,577.0,898.0,852.0,788.0,765,471,768,769,729,2024-02-24 18:00
2024-02-24,20,759.0,499.0,736.0,722.0,653.0,617,393,623,621,591,2024-02-24 19:00
2024-02-24,21,624.0,413.0,592.0,624.0,545.0,483,316,512,519,483,2024-02-24 20:00
2024-02-24,22,541.0,338.0,531.0,576.0,485.0,418,261,459,458,426,2024-02-24 21:00
2024-02-24,23,454.0,287.0,466.0,491.0,403.0,409,209,379,399,366,2024-02-24 22:00
2024-02-24,24,331.0,214.0,424.0,382.0,331.0,290,163,295,309,279,2024-02-24 23:00
2024-02-25,1,228.0,153.0,317.0,278.0,248.0,204,108,198,241,195,2024-02-25 0:00
2024-02-25,2,169.0,122.0,247.0,204.0,191.0,146,77,135,185,139,2024-02-25 1:00
2024-02-25,3,134.0,92.0,223.0,168.0,171.0,127,63,115,149,117,2024-02-25 2:00
2024-02-25,4,128.0,92.0,213.0,161.0,167.0,120,54,105,133,106,2024-02-25 3:00
2024-02-25,5,129.0,99.0,238.0,174.0,195.0,108,58,104,134,104,2024-02-25 4:00
2024-02-25,6,178.0,135.0,322.0,250.0,280.0,147,78,148,174,144,2024-02-25 5:00
2024-02-25,7,298.0,196.0,434.0,376.0,394.0,221,111,230,232,214,2024-02-25 6:00
2024-02-25,8,442.0,271.0,516.0,450.0,488.0,280,157,319,297,287,2024-02-25 7:00
2024-02-25,9,583.0,372.0,633.0,542.0,595.0,405,248,463,391,412,2024-02-25 8:00
2024-02-25,10,729.0,434.0,735.0,629.0,684.0,592,353,599,521,552,2024-02-25 9:00
2024-02-25,11,828.0,485.0,783.0,689.0,735.0,755,440,724,590,669,2024-02-25 10:00
2024-02-25,12,889.0,516.0,831.0,756.0,769.0,812,488,783,639,724,2024-02-25 11:00
2024-02-25,13,882.0,517.0,855.0,790.0,781.0,929,558,864,729,812,2024-02-25 12:00
2024-02-25,14,869.0,500.0,876.0,807.0,791.0,905,573,872,759,819,2024-02-25 13:00
2024-02-25,15,834.0,523.0,864.0,830.0,792.0,909,567,886,756,826,2024-02-25 14:00
2024-02-25,16,841.0,520.0,863.0,841.0,791.0,887,534,858,768,805,2024-02-25 15:00
2024-02-25,17,834.0,508.0,840.0,828.0,779.0,845,552,811,745,772,2024-02-25 16:00
2024-02-25,18,847.0,494.0,834.0,810.0,750.0,779,533,776,705,732,2024-02-25 17:00
2024-02-25,19,754.0,468.0,771.0,739.0,675.0,689,467,721,652,671,2024-02-25 18:00
2024-02-25,20,624.0,422.0,664.0,650.0,587.0,579,375,573,514,538,2024-02-25 19:00
2024-02-25,21,557.0,354.0,583.0,579.0,518.0,434,286,428,402,406,2024-02-25 20:00
2024-02-25,22,491.0,312.0,557.0,554.0,476.0,329,225,330,335,317,2024-02-25 21:00
2024-02-25,23,392.0,271.0,465.0,487.0,394.0,267,161,241,270,240,2024-02-25 22:00
2024-02-25,24,300.0,204.0,372.0,395.0,308.0,196,109,178,197,176,2024-02-25 23:00
2024-02-26,1,214.0,139.0,290.0,294.0,235.0,145,77,114,140,119,2024-02-26 0:00
2024-02-26,2,152.0,106.0,228.0,206.0,176.0,115,57,80,108,88,2024-02-26 1:00
2024-02-26,3,110.0,77.0,204.0,164.0,152.0,100,53,75,99,81,2024-02-26 2:00
2024-02-26,4,94.0,65.0,187.0,136.0,135.0,124,67,103,114,104,2024-02-26 3:00
2024-02-26,5,85.0,59.0,183.0,124.0,141.0,189,116,208,188,189,2024-02-26 4:00
2024-02-26,6,117.0,81.0,230.0,158.0,188.0,332,209,525,381,423,2024-02-26 5:00
2024-02-26,7,187.0,129.0,299.0,238.0,259.0,631,383,849,716,725,2024-02-26 6:00
2024-02-26,8,265.0,183.0,366.0,300.0,338.0,1000,593,948,969,914,2024-02-26 7:00
2024-02-26,9,399.0,253.0,479.0,397.0,455.0,922,560,865,848,832,2024-02-26 8:00
2024-02-26,10,579.0,346.0,604.0,525.0,582.0,752,484,805,690,733,2024-02-26 9:00
2024-02-26,11,737.0,439.0,722.0,617.0,668.0,749,469,776,667,711,2024-02-26 10:00
2024-02-26,12,790.0,484.0,762.0,639.0,724.0,777,484,777,676,720,2024-02-26 11:00
2024-02-26,13,898.0,562.0,829.0,715.0,764.0,823,516,796,701,747,2024-02-26 12:00
2024-02-26,14,889.0,547.0,838.0,760.0,787.0,838,527,829,720,771,2024-02-26 13:00
2024-02-26,15,917.0,567.0,832.0,774.0,783.0,861,561,928,827,850,2024-02-26 14:00
2024-02-26,16,915.0,536.0,812.0,757.0,752.0,976,593,1012,954,940,2024-02-26 15:00
2024-02-26,17,803.0,549.0,793.0,745.0,744.0,1022,630,1033,1024,976,2024-02-26 16:00
2024-02-26,18,815.0,554.0,758.0,725.0,708.0,990,619,952,947,914,2024-02-26 17:00
2024-02-26,19,767.0,507.0,682.0,685.0,626.0,758,451,751,704,704,2024-02-26 18:00
2024-02-26,20,615.0,424.0,588.0,569.0,525.0,571,349,553,517,523,2024-02-26 19:00
2024-02-26,21,500.0,344.0,497.0,501.0,441.0,446,269,425,411,406,2024-02-26 20:00
2024-02-26,22,395.0,278.0,439.0,460.0,379.0,349,216,344,367,332,2024-02-26 21:00
